ID;Bezeichnung;WKN;secu;ISIN;Branche;Sektor;Indizes;WP_Art;Veraenderung_zum_Vortag_€;Veraenderung_zum_Vortag_%;link_Hauptseite;link_Chart;link_Kurshistorie;link_Analysten;link_GuV;Boerse_ID;;;;
230032;Wheaton Precious Metals Corp.;A2DRBP;;;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Wheaton-aktie;;https://www.ariva.de/Wheaton-aktie/Kurse/historische-kurse
230033;Franco-Nevada Corp.;A0M8PX;;;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Franco-Nevada-aktie;;https://www.ariva.de/Franco-Nevada-aktie/Kurse/historische-kurse
230034;Agnico Eagle Mines Ltd.;860325;;;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Agnico-aktie;;https://www.ariva.de/Agnico-aktie/Kurse/historische-kurse
230035;CTP NV;A2QRMW;;CA29250N1050;Öl und Gas - Midstream;Energie;;;0;0;;;;;;6;;https://www.ariva.de/CTP-aktie;;https://www.ariva.de/CTP-aktie/Kurse/historische-kurse
230036;Atrium Ljungberg AB;533995;;US2937921078;Öl und Gas - Midstream;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Atrium-aktie;;https://www.ariva.de/Atrium-aktie/Kurse/historische-kurse
230037;Forestar Group Inc.;A2H5CR;;US29273V1008;Öl und Gas - Midstream;Energie;;;0;0;;;;;;6;;https://www.ariva.de/Forestar-aktie;;https://www.ariva.de/Forestar-aktie/Kurse/historische-kurse
230038;Cleveland-Cliffs Inc.;A2DVSM;;;Gesundheitsinformationsdienste;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/Cleveland-Cliffs-aktie;;https://www.ariva.de/Cleveland-Cliffs-aktie/Kurse/historische-kurse
230039;Adecco Group AG;922031;;;Gesundheitsinformationsdienste;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/Adecco-aktie;;https://www.ariva.de/Adecco-aktie/Kurse/historische-kurse
230040;Heineken Holding N.V.;A0ETXG;;;Umweltschutz- und Behandlungskontrolle;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Heineken-aktie;;https://www.ariva.de/Heineken-aktie/Kurse/historische-kurse
230041;Carlsberg AS;861061;;;Umweltschutz- und Behandlungskontrolle;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Carlsberg-aktie;;https://www.ariva.de/Carlsberg-aktie/Kurse/historische-kurse
230042;Allegro.eu Registered Shares ZY -,01;A2QEGF;;BE0974320526;Umweltschutz- und Behandlungskontrolle;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Allegro.eu-aktie;;https://www.ariva.de/Allegro.eu-aktie/Kurse/historische-kurse
